excel_name,shp_name,tech,latitude,longitude,potencia_mw,matched
PFV-DOMEYKO,DOMEYKO,Solar,-24.062041127999976,-69.57744472299999,201.61,True
PFV-ANDES,ANDES SOLAR,Solar,-24.00854670399997,-68.58490714699997,21.425,True
PFV-ANDES2A,ANDES SOLAR,Solar,-24.00854670399997,-68.58490714699997,21.425,True
PFV-SOLDELILA,SOL DE LILA,Solar,-24.03316840399998,-68.57509231199998,149.23,True
PFV-LALACKAMA,LALACKAMA,Solar,-25.119227808999938,-70.30305476899997,54.835,True
PFV-PAMPASOLARNORTE,PAMPA SOLAR NORTE,Solar,-25.532951526999966,-70.17987069899993,65.8652,True
PFV-CONEJO,CONEJO SOLAR,Solar,-25.504103215999976,-70.16290331299996,102.5864,True
PFV-ALMEYDA,ALMEYDA,Solar,-26.18980341599996,-70.09723720199997,56.0,True
PFV-MALGARIDA,MALGARIDA,Solar,-26.27150796799998,-69.94549511599996,200.68,True
PFV-JAVIERA,JAVIERA,Solar,-26.30373869799996,-70.22074430299995,63.3,True
PFV-SOLDELOSANDES,SOL DE LOS ANDES,Solar,-26.31823024199997,-69.92355276399996,89.7155,True
PFV-CHANARES,CHANARES,Solar,-26.373058456999956,-70.08012924499997,35.892,True
PFV-SALVADOR,PV SALVADOR,Solar,-26.31068278899994,-69.86555886899998,67.796,True
PFV-DIEGODEALMAGRO,SOLAR DIEGO DE ALMAGRO,Solar,-26.378934176999962,-70.02006237699999,31.914,True
PFV-CAMPOSDELSOL,CAMPOS DEL SOL,Solar,-27.06459240299995,-69.90784787099994,363.7962,True
PFV-CARRERAPINTO,PFV CARRERA PINTO,Solar,-27.00423631299998,-69.86703741599996,90.675,True
PFV-LUZDELNORTE,LUZ DEL NORTE,Solar,-27.02624758199994,-69.89286185599997,141.04,True
PFV-LLANODELLAMPOS,LLANO DE LLAMPOS,Solar,-27.117460621999953,-70.17114340099994,101.02,True
PFV-SANANDRES,SOLAR SAN ANDRES,Solar,-27.25422451999998,-70.11122075299994,50.6,True
PFV-RIOESCONDIDO,RIO ESCONDIDO,Solar,-27.880864344999964,-70.19405308099994,157.96,True
PFV-LOSLOROS,LOS LOROS,Solar,-27.85137752199995,-70.16848334599996,45.8467,True
PFV-ELROMERO,EL ROMERO,Solar,-29.109486537999942,-70.90792703899996,196.0,True
PFV-ELPELICANO,EL PELICANO,Solar,-29.146154172999957,-70.87099534599997,105.032,True
PFV-LAHUELLA,LA HUELLA,Solar,-29.141199335999943,-70.89227355299994,84.0,True
PFV-DONACARMEN,DONA CARMEN SOLAR,Solar,-32.47888003299994,-71.25404612499995,34.542,True
PFV-SANTIAGOSOLAR,SANTIAGO SOLAR,Solar,-33.077898267999956,-70.86172432299998,90.83,True
PFV-QUILAPILUN,QUILAPILUN,Solar,-33.103695020999965,-70.68793057499994,112.385,True
PFV-PUERTOSECO,PUERTO SECO SOLAR,Solar,-22.44992044199995,-68.87011641499998,8.959,True
PFV-CAPRICORNIO,CAPRICORNIO,Solar,-23.416622098999937,-70.17838756599997,88.6173,True
PFV-DIEGOALMAGROSUR,,Solar,,,,False
PFV-PAMPATIGRE,PAMPA TIGRE,Solar,-23.85503583999997,-69.79625321599997,101.892,True
PFV-VALLEESCONDIDO,VALLE ESCONDIDO,Solar,-27.808912490999944,-70.27413147399994,106.23,True
PFV-VALLEDELSOL,VALLE DEL SOL (MODIFICACION),Solar,-22.33320521199994,-69.57814574499997,149.55,True
PFV-COYA,COYA,Solar,-22.249203131999934,-69.57438430399998,182.373,True
PFV-GUANCHOI,GUANCHOI,Solar,-26.66220749799993,-69.94835179699999,356.6098,True
PFV-ANDES2B,ANDES II B,Solar,-23.997595995999973,-68.57365581699997,129.7287,True
PFV-MESETADELOSANDES,MESETA DE LOS ANDES,Solar,-32.89399641399996,-70.54079819299994,148.8953,True
PFV-MANZANO,EL MANZANO,Solar,-33.09987761299993,-70.78833127899998,91.74,True
PFV-ELENA,ELENA ETAPA I (FASE I),Solar,-22.16279561099998,-69.47836406499994,66.442,True
PFV-WILLKA,WILLKA,Solar,-18.499238503999948,-70.10851955699997,97.9998,True
PFV-LASSALINAS,LAS SALINAS - ETAPA 1,Solar,-22.855043429999967,-68.95385543899994,198.1912,True
PFV-LALACKAMA-2,LALACKAMA II,Solar,-25.10889218099993,-70.30987712599995,16.4505,True
PFV-CEME1,CEME 1,Solar,-22.360580006999953,-69.59252610199997,401.106,True
PFV-DONAANTONIA,DONA ANTONIA,Solar,-30.471185469999966,-71.16539621099997,79.3579,True
PFV-DONHUMBERTO,DON HUMBERTO,Solar,-33.12079093999995,-70.81888147799998,80.8036,True
PFV-GRANTENO,,Solar,,,,False
PFV-ANDESIV,ANDES SOLAR,Solar,-24.00854670399997,-68.58490714699997,21.425,True
PFV-TAMARICO,TAMARICO,Solar,-28.436683768999956,-70.77496756099998,152.3,True
PFV-TAIRA,TAIRA,Solar,-22.25988887699998,-69.53511122199995,200.3316,True
PFV-LEYDA,,Solar,,,,False
PFV-DOMEYKO *,DOMEYKO,Solar,-24.062041127999976,-69.57744472299999,201.61,True
PFV-SOLDELILA *,SOL DE LILA,Solar,-24.03316840399998,-68.57509231199998,149.23,True
PE-CERROTIGRE *,CERRO TIGRE,Eólica,-23.76023049199995,-69.92844411399994,182.05,True
PE-MALLECONORTE *,,Eólica,,,,False
PFV-LACRUZSOLAR *,LA CRUZ SOLAR,Solar,-22.257168754999952,-69.61214086099994,52.0201,True
PFV-SOLDELOSANDES *,SOL DE LOS ANDES,Solar,-26.31823024199997,-69.92355276399996,89.7155,True
PFV-CAPRICORNIO*,CAPRICORNIO,Solar,-23.416622098999937,-70.17838756599997,88.6173,True
